queryName	genotypeFinalClade	genotypeCladeBalance	genotypeClosestMemberAlignmentName	genotypeClosestMemberSourceName	genotypeClosestMemberSequenceID	subtypeFinalClade	subtypeCladeBalance	subtypeClosestMemberAlignmentName	subtypeClosestMemberSourceName	subtypeClosestMemberSequenceID
ncbi-hev/AB986080	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986081	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:68.62%, AL_1f:15.68%, AL_1b:8.34%, AL_1c:6.30%, AL_1e:0.60%, AL_1d:0.47%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986082	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986083	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986084	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986085	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986086	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986087	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986088	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986089	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986090	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986091	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986092	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986093	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986094	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986095	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986096	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986097	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986098	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986099	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986100	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986101	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986102	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986103	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986104	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986105	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986106	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.09%, AL_1f:15.63%, AL_1b:7.70%, AL_1c:5.71%, AL_1e:0.49%, AL_1d:0.38%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986107	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1a	AL_1a:70.31%, AL_1f:15.09%, AL_1b:7.82%, AL_1c:5.84%, AL_1e:0.53%, AL_1d:0.41%	AL_1a	ncbi-hev	M73218
ncbi-hev/AB986279	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:81.32%, AL_3a:6.89%, AL_3_AB369689:5.99%, AL_3j:4.60%, AL_3i:1.19%	AL_3b	ncbi-hev	AP003430
ncbi-hev/AB986280	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:51.26%, AL_3a:18.21%, AL_3_AB369689:17.75%, AL_3j:12.78%	-	-	-
ncbi-hev/AF001276	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	AL_1d	AL_1d:96.08%, AL_1e:1.94%, AL_1c:0.67%, AL_1b:0.60%, AL_1a:0.50%, AL_1f:0.22%	AL_1d	ncbi-hev	AY230202
ncbi-hev/AF010417	AL_1	AL_1:100.00%	AL_1a	ncbi-hev	M73218	-	AL_1b:44.33%, AL_1a:24.19%, AL_1c:28.15%, AL_1f:2.70%, AL_1e:0.37%, AL_1d:0.26%	-	-	-
ncbi-hev/AF010418	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1d	AL_1d:100.00%, AL_1e:0.00%, AL_1c:0.00%, AL_1b:0.00%, AL_1a:0.00%, AL_1f:0.00%	AL_1d	ncbi-hev	AY230202
ncbi-hev/AF010419	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1d	AL_1d:100.00%, AL_1e:0.00%, AL_1c:0.00%, AL_1b:0.00%, AL_1a:0.00%, AL_1f:0.00%	AL_1d	ncbi-hev	AY230202
ncbi-hev/AF010420	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1d	AL_1d:100.00%, AL_1e:0.00%, AL_1c:0.00%, AL_1b:0.00%, AL_1a:0.00%, AL_1f:0.00%	AL_1d	ncbi-hev	AY230202
ncbi-hev/AF010421	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.74%, AL_1d:3.16%, AL_1c:1.40%, AL_1b:1.24%, AL_1a:1.02%, AL_1f:0.44%	AL_1e	ncbi-hev	AY204877
ncbi-hev/AF010422	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1b:44.33%, AL_1a:24.19%, AL_1c:28.15%, AL_1f:2.70%, AL_1e:0.37%, AL_1d:0.26%	-	-	-
ncbi-hev/AF010423	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1d	AL_1d:100.00%, AL_1e:0.00%, AL_1c:0.00%, AL_1b:0.00%, AL_1a:0.00%, AL_1f:0.00%	AL_1d	ncbi-hev	AY230202
ncbi-hev/AF010424	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1d	AL_1d:100.00%, AL_1e:0.00%, AL_1c:0.00%, AL_1b:0.00%, AL_1a:0.00%, AL_1f:0.00%	AL_1d	ncbi-hev	AY230202
ncbi-hev/AF010425	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1c:60.47%, AL_1b:19.46%, AL_1a:14.25%, AL_1f:3.37%, AL_1e:1.44%, AL_1d:1.01%	-	-	-
ncbi-hev/AF010426	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:83.15%, AL_1b:9.01%, AL_1a:6.06%, AL_1f:1.23%, AL_1e:0.32%, AL_1d:0.23%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF010427	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AF010428	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AF010429	-	-	-	-	-	-	-	-	-	-
ncbi-hev/AF020486	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.57%, AL_1f:0.68%, AL_1b:0.43%, AL_1c:0.29%, AL_1e:0.01%, AL_1d:0.01%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020487	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.26%, AL_1f:0.77%, AL_1b:0.53%, AL_1c:0.39%, AL_1e:0.03%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020488	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.15%, AL_1f:0.83%, AL_1b:0.56%, AL_1c:0.41%, AL_1e:0.03%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020489	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.50%, AL_1f:0.68%, AL_1b:0.46%, AL_1c:0.33%, AL_1e:0.02%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020490	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.15%, AL_1f:0.83%, AL_1b:0.57%, AL_1c:0.41%, AL_1e:0.03%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020491	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.15%, AL_1f:0.83%, AL_1b:0.56%, AL_1c:0.41%, AL_1e:0.03%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020492	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:96.48%, AL_1f:1.54%, AL_1b:1.08%, AL_1c:0.79%, AL_1e:0.06%, AL_1d:0.05%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020493	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:97.34%, AL_1f:1.18%, AL_1b:0.81%, AL_1c:0.59%, AL_1e:0.04%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020494	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.08%, AL_1f:0.86%, AL_1b:0.59%, AL_1c:0.42%, AL_1e:0.03%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020495	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:99.48%, AL_1f:0.23%, AL_1b:0.16%, AL_1c:0.11%, AL_1e:0.01%, AL_1d:0.01%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020496	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:94.74%, AL_1f:2.25%, AL_1b:1.61%, AL_1c:1.21%, AL_1e:0.11%, AL_1d:0.08%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020497	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:94.64%, AL_1f:2.29%, AL_1b:1.65%, AL_1c:1.23%, AL_1e:0.11%, AL_1d:0.08%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020603	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:97.46%, AL_1f:1.16%, AL_1b:0.78%, AL_1c:0.55%, AL_1e:0.03%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020604	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:96.95%, AL_1f:1.38%, AL_1b:0.93%, AL_1c:0.66%, AL_1e:0.04%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020605	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:96.95%, AL_1f:1.38%, AL_1b:0.93%, AL_1c:0.66%, AL_1e:0.04%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020606	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:97.43%, AL_1f:1.17%, AL_1b:0.78%, AL_1c:0.56%, AL_1e:0.03%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020607	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:95.64%, AL_1f:1.95%, AL_1b:1.33%, AL_1c:0.96%, AL_1e:0.07%, AL_1d:0.05%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF020608	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:99.38%, AL_1f:0.28%, AL_1b:0.19%, AL_1c:0.13%, AL_1e:0.01%, AL_1d:0.01%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF028091	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:94.84%, AL_1f:2.28%, AL_1b:1.58%, AL_1c:1.15%, AL_1e:0.08%, AL_1d:0.06%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF032916	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.37%, AL_4e:0.40%, AL_4b:0.24%	AL_4a	ncbi-hev	AB197673
ncbi-hev/AF032917	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.57%, AL_4e:0.43%	AL_4a	ncbi-hev	AB197673
ncbi-hev/AF032918	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4_AB369688	AL_4_AB369688:100.00%	AL_4_AB369688	ncbi-hev	AB369688
ncbi-hev/AF047864	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1a:54.15%, AL_1b:21.97%, AL_1c:14.71%, AL_1f:8.01%, AL_1e:0.67%, AL_1d:0.49%	-	-	-
ncbi-hev/AF047865	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:94.98%, AL_1f:2.13%, AL_1b:1.56%, AL_1c:1.16%, AL_1e:0.10%, AL_1d:0.07%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF047866	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:98.63%, AL_1f:0.60%, AL_1b:0.42%, AL_1c:0.31%, AL_1e:0.02%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF051350	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:71.21%, AL_1f:15.23%, AL_1b:5.56%, AL_1c:4.98%, AL_1e:1.93%, AL_1d:1.10%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF051351	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:91.51%, AL_1d:3.32%, AL_1c:1.71%, AL_1b:1.55%, AL_1a:1.30%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/AF051352	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:88.96%, AL_1d:4.31%, AL_1c:2.22%, AL_1b:2.01%, AL_1a:1.69%, AL_1f:0.81%	AL_1e	ncbi-hev	AY204877
ncbi-hev/AF051830	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:94.67%, AL_1f:2.37%, AL_1b:1.63%, AL_1c:1.18%, AL_1e:0.08%, AL_1d:0.06%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF060668	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:88.67%, AL_3j:4.61%, AL_3b:3.12%, AL_3_AB369689:3.07%, AL_3i:0.53%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AF060669	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:86.84%, AL_3j:5.34%, AL_3b:3.62%, AL_3_AB369689:3.57%, AL_3i:0.62%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AF065061	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1d	AL_1d:100.00%, AL_1e:0.00%, AL_1c:0.00%, AL_1b:0.00%, AL_1a:0.00%, AL_1f:0.00%	AL_1d	ncbi-hev	AY230202
ncbi-hev/AF076239	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:94.66%, AL_1f:2.36%, AL_1b:1.64%, AL_1c:1.19%, AL_1e:0.09%, AL_1d:0.07%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF077004	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:100.00%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AF077005	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:88.38%, AL_4d:6.84%, AL_4i:0.59%, AL_4g:0.85%, AL_4f:0.72%, AL_4_AB369688:0.61%, AL_4c:0.58%, AL_4e:0.73%, AL_4a:0.61%, AL_4h:0.10%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/AF078797	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:99.97%, AL_1f:0.01%, AL_1b:0.01%, AL_1c:0.01%, AL_1e:0.00%, AL_1d:0.00%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF082081	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:99.12%, AL_1b:0.58%, AL_1a:0.20%, AL_1f:0.06%, AL_1e:0.02%, AL_1d:0.02%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082082	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:99.94%, AL_1b:0.03%, AL_1a:0.02%, AL_1f:0.01%, AL_1e:0.00%, AL_1d:0.00%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082083	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4a:57.27%, AL_4e:9.24%, AL_4b:5.55%, AL_4d:5.13%, AL_4g:5.87%, AL_4f:5.09%, AL_4_AB369688:4.64%, AL_4c:4.57%, AL_4i:1.60%, AL_4h:1.04%	-	-	-
ncbi-hev/AF082084	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4a:31.08%, AL_4e:16.11%, AL_4b:5.75%, AL_4d:5.34%, AL_4g:13.27%, AL_4f:10.78%, AL_4_AB369688:7.69%, AL_4c:8.34%, AL_4h:1.66%	-	-	-
ncbi-hev/AF082085	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:99.73%, AL_1b:0.13%, AL_1a:0.10%, AL_1f:0.03%, AL_1e:0.01%, AL_1d:0.01%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082086	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:99.52%, AL_1b:0.22%, AL_1a:0.17%, AL_1f:0.06%, AL_1e:0.02%, AL_1d:0.02%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082087	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4c	AL_4c:72.66%, AL_4f:15.34%, AL_4h:4.12%, AL_4e:2.57%, AL_4a:0.62%, AL_4b:0.47%, AL_4d:0.43%, AL_4g:2.83%, AL_4_AB369688:0.97%	AL_4c	ncbi-hev	AB074915
ncbi-hev/AF082088	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:87.65%, AL_1b:5.69%, AL_1a:5.06%, AL_1f:1.12%, AL_1e:0.28%, AL_1d:0.21%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082089	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1c:36.20%, AL_1b:23.49%, AL_1a:18.83%, AL_1e:8.22%, AL_1f:4.68%, AL_1d:8.58%	-	-	-
ncbi-hev/AF082090	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:64.84%, AL_1b:17.45%, AL_1a:14.45%, AL_1f:2.41%, AL_1e:0.50%, AL_1d:0.36%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082091	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:64.84%, AL_1b:17.45%, AL_1a:14.45%, AL_1f:2.41%, AL_1e:0.50%, AL_1d:0.36%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082092	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1c	AL_1c:99.73%, AL_1b:0.13%, AL_1a:0.10%, AL_1f:0.03%, AL_1e:0.01%, AL_1d:0.01%	AL_1c	ncbi-hev	X98292
ncbi-hev/AF082093	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4c:51.28%, AL_4f:16.33%, AL_4h:13.96%, AL_4g:6.35%, AL_4_AB369688:4.94%, AL_4e:2.96%, AL_4i:1.30%, AL_4b:1.25%, AL_4a:0.84%, AL_4d:0.78%	-	-	-
ncbi-hev/AF082094	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4e:57.68%, AL_4a:1.58%, AL_4b:1.05%, AL_4d:0.96%, AL_4g:1.33%, AL_4f:3.86%, AL_4_AB369688:1.03%, AL_4c:30.51%, AL_4i:0.71%, AL_4h:1.29%	-	-	-
ncbi-hev/AF082095	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:64.77%, AL_4e:8.20%, AL_4b:4.63%, AL_4d:4.24%, AL_4g:4.29%, AL_4f:3.71%, AL_4_AB369688:3.38%, AL_4c:3.40%, AL_4i:2.94%, AL_4h:0.44%	AL_4a	ncbi-hev	AB197673
ncbi-hev/AF082096	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4h:46.29%, AL_4c:7.54%, AL_4f:6.84%, AL_4g:6.49%, AL_4_AB369688:12.38%, AL_4e:12.28%, AL_4a:2.42%, AL_4b:2.07%, AL_4d:1.91%, AL_4i:1.80%	-	-	-
ncbi-hev/AF082843	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:100.00%, AL_3j:0.00%, AL_3b:0.00%, AL_3_AB369689:0.00%, AL_3i:0.00%	AL_3a	ncbi-hev	AF082843
ncbi-hev/AF093880	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:96.88%, AL_1f:1.50%, AL_1b:0.95%, AL_1c:0.62%, AL_1e:0.03%, AL_1d:0.02%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF093881	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:95.86%, AL_1f:1.97%, AL_1b:1.27%, AL_1c:0.83%, AL_1e:0.04%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF093882	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:95.86%, AL_1f:1.96%, AL_1b:1.27%, AL_1c:0.83%, AL_1e:0.04%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF093883	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:94.76%, AL_1f:2.48%, AL_1b:1.60%, AL_1c:1.06%, AL_1e:0.06%, AL_1d:0.04%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF093884	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:92.18%, AL_1f:3.62%, AL_1b:2.40%, AL_1c:1.63%, AL_1e:0.10%, AL_1d:0.07%	AL_1a	ncbi-hev	M73218
ncbi-hev/AF093885	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1a	AL_1a:97.22%, AL_1f:1.26%, AL_1b:0.87%, AL_1c:0.59%, AL_1e:0.04%, AL_1d:0.03%	AL_1a	ncbi-hev	M73218
